uniqueID,DraftYear,"Player Name (Last Name, First Name)",Position,Height in Ft & In,Weight in lbs,Standing vertical Jump,Maximum Vertical Jump (with steps),three-quarter court sprint,lane agility drill,Bench Press test,Drafted?,Player
570,2016,"Ellenson, Henry",PF,"6'10""",242.0,,,,,,Yes,Henry Ellenson
571,2016,"Ellis, Perry",PF,"6'7""",217.8,32.0,38.0,3.13,10.73,,No,Perry Ellis
572,2016,"Felder, Kay",PG,"5'8""",177.2,35.5,44.0,3.15,11.52,,Yes,Kay Felder
573,2016,"Finney-Smith, Dorian",SF,"6'6""",212.6,32.5,35.5,3.27,11.01,,No,Dorian Finney-Smith
574,2016,"Gbinije, Michael",SG,"6'6""",204.6,33.5,37.5,3.12,11.0,,Yes,Michael Gbinije
575,2016,"Hamilton, Daniel",SG-SF,"6'6""",197.0,26.0,29.0,3.4,11.48,,Yes,Daniel Hamilton
576,2016,"Hield, Buddy",SG,"6'4""",212.4,,,,,,Yes,Buddy Hield
577,2016,"Jackson, Demetrius",PG,"6'0""",193.8,37.5,43.5,3.25,10.81,,Yes,Demetrius Jackson
578,2016,"Johnson, Brice",PF,"6'9""",208.6,33.5,38.0,3.2,11.88,,Yes,Brice Johnson
579,2016,"Jones, Damian",C,"6'10""",243.6,36.0,37.0,3.2,11.35,,Yes,Damian Jones
580,2016,"Labissiere, Skal",PF-C,"6'10""",215.8,,,,,,No,Skal Labissiere
581,2016,"Layman, Jake",SF,"6'8""",208.6,33.0,39.5,3.24,11.35,,Yes,Jake Layman
582,2016,"Lee, Marcus",PF-C,"6'9""",211.0,28.5,35.5,3.25,11.68,,No,Marcus Lee
583,2016,"LeVert, Caris",SG,"6'6""",191.0,,,,,,Yes,Caris LeVert
584,2016,"Maker, Thon",PF,"6'12""",216.0,32.0,36.5,3.33,11.15,,Yes,Thon Maker
585,2016,"McCaw, Patrick",PG-SG,"6'5""",180.8,30.0,38.0,3.3,11.01,,Yes,Patrick McCaw
586,2016,"Niang, Georges",PF,"6'7""",230.8,25.0,31.0,3.49,11.64,,Yes,Georges Niang
587,2016,"Onuaku, Chinanu",C,"6'9""",245.2,27.5,33.5,3.5,11.65,,Yes,Chinanu Onuaku
588,2016,"Paige, Marcus",PG,"6'0""",163.8,33.5,39.5,3.15,10.82,,Yes,Marcus Paige
589,2016,"Payton II, Gary",PG,"6'2""",183.8,31.5,38.5,3.23,11.57,,No,Gary Payton II
590,2016,"Poeltl, Jakob",C,"7'0""",239.0,,,,,,Yes,Jakob Poeltl
591,2016,"Prince, Taurean",SF,"6'6""",220.2,34.0,36.0,3.24,10.96,,Yes,Taurean Prince
592,2016,"Qi, Zhou",PF-C,"7'1""",218.2,31.5,32.0,3.46,11.27,,Yes,Zhou Qi
593,2016,"Richardson, Malachi",SG-SF,"6'5""",199.6,33.0,38.0,3.33,10.56,,Yes,Malachi Richardson
594,2016,"Selden, Wayne",SG,"6'4""",232.4,,,,,,No,Wayne Selden
595,2016,"Siakam, Pascal",PF,"6'8""",226.6,30.5,36.5,3.41,11.25,,Yes,Pascal Siakam
596,2016,"Stone, Diamond",C,"6'9""",254.4,27.0,29.5,3.5,12.02,,Yes,Diamond Stone
597,2016,"Ulis, Tyler",PG,"5'9""",149.2,32.5,38.0,3.2,10.8,,Yes,Tyler Ulis
598,2016,"Uthoff, Jarrod",PF,"6'8""",214.4,29.0,34.5,3.5,11.52,,No,Jarrod Uthoff
599,2016,"Valentine, Denzel",SG-SF,"6'4""",210.4,27.0,32.0,3.46,10.51,,Yes,Denzel Valentine
600,2016,"Whitehead, Isaiah",PG-SG,"6'3""",210.0,27.5,35.5,3.34,11.65,,Yes,Isaiah Whitehead
601,2016,"Williams, Troy",SF,"6'6""",217.8,30.0,36.0,3.35,10.72,,No,Troy Williams
602,2016,"Wiltjer, Kyle",PF,"6'9""",242.8,28.5,35.5,3.48,11.35,,No,Kyle Wiltjer
603,2016,"Zimmerman, Stephen",C,"6'10""",234.0,26.0,31.0,3.43,12.08,,Yes,Stephen Zimmerman
604,2015,"Alexander, Cliff",PF-C,"6'7""",239.2,,,,,,No,Cliff Alexander
605,2015,"Anderson, Justin",SF-SG,"6'5""",230.6,38.0,43.0,3.22,11.13,12.0,Yes,Justin Anderson
606,2015,"Ashley, Brandon",PF,"6'7""",228.0,31.5,35.5,3.58,11.21,9.0,No,Brandon Ashley
607,2015,"Boatright, Ryan",PG,"5'10""",169.6,32.0,41.0,3.26,10.71,10.0,No,Ryan Boatright
608,2015,"Booker, Devin",SG,"6'4""",205.8,27.5,34.5,3.28,10.27,8.0,Yes,Devin Booker
609,2015,"Brown, Anthony",SF-SG,"6'6""",211.0,27.5,34.5,3.18,10.94,4.0,Yes,Anthony Brown
610,2015,"Cauley-Stein, Willie",C,"6'11""",242.4,,,,,,No,Willie Cauley-Stein
611,2015,"Christmas, Rakeem",PF-C,"6'8""",242.6,29.0,32.0,3.47,11.6,9.0,Yes,Rakeem Christmas
612,2015,"Connaughton, Pat",SG,"6'4""",215.0,37.5,44.0,3.2,10.58,13.0,Yes,Pat Connaughton
613,2015,"Cook, Quinn",PG,"6'0""",179.0,24.5,31.0,3.38,11.44,14.0,No,Quinn Cook
614,2015,"Dawson, Branden",PF,"6'6""",230.2,28.5,34.5,3.2,12.22,12.0,Yes,Branden Dawson
615,2015,"Dekker, Sam",SF,"6'8""",218.6,25.5,34.5,3.28,10.64,5.0,Yes,Sam Dekker
616,2015,"Frazier II, Michael",SG,"6'4""",199.4,27.0,35.0,3.32,10.66,10.0,No,Michael Frazier II
617,2015,"Graham, Treveon",SF,"6'4""",219.4,28.5,31.5,3.3,11.64,11.0,No,Treveon Graham
618,2015,"Grant, Jerian",PG,"6'3""",198.0,,,,,,Yes,Jerian Grant
619,2015,"Hanlan, Olivier",PG-SG,"6'3""",185.8,28.0,34.0,3.25,11.41,19.0,Yes,Olivier Hanlan
620,2015,"Harrell, Montrezl",PF,"6'7""",253.4,,,,,,Yes,Montrezl Harrell
621,2015,"Harrison, Aaron",SG,"6'4""",209.2,28.5,34.5,3.27,,1.0,No,Aaron Harrison
622,2015,"Harrison, Andrew",PG,"6'4""",213.2,26.5,33.0,3.34,11.2,,Yes,Andrew Harrison
623,2015,"Harvey, Tyler",SG,"6'3""",181.4,26.0,28.5,3.44,10.56,1.0,Yes,Tyler Harvey
624,2015,"Hawkins, Corey",SG-PG,"6'1""",191.8,28.5,34.0,3.51,10.81,9.0,No,Corey Hawkins
625,2015,"Hollis-Jefferson, Rondae",SF,"6'6""",210.8,32.0,38.0,3.12,10.41,13.0,No,Rondae Hollis-Jefferson
626,2015,"Holmes, Jonathan",PF-SF,"6'8""",242.2,25.5,31.0,3.51,10.95,,No,Jonathan Holmes
627,2015,"Holmes, Richaun",PF,"6'8""",242.8,32.5,36.0,3.32,11.24,15.0,Yes,Richaun Holmes
