Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
43,43,SAC,Jahmi'us Ramsey,Texas Tech,3,39,349,147,45,21,.416,.271,.680,8.9,3.8,1.2,0.5,-0.1,-.008,-5.4,-0.3,2020
44,44,CHI,Marko Simonovic,,2,16,55,23,12,0,.273,.222,.692,3.4,1.4,0.8,0.0,0.0,-.026,-12.3,-0.1,2020
45,45,MIL,Jordan Nwora,Louisville,4,206,3359,1564,659,216,.433,.376,.807,16.3,7.6,3.2,1.0,3.0,.043,-2.8,-0.7,2020
46,46,POR,CJ Elleby,Washington State,2,88,1366,407,259,97,.390,.275,.717,15.5,4.6,2.9,1.1,0.5,.018,-5.2,-1.1,2020
47,47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,,2020
48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,.342,.367,.821,12.1,4.1,1.5,2.3,0.2,.029,-3.9,-0.2,2020
49,49,PHI,Isaiah Joe,Arkansas,6,392,6943,3219,824,455,.436,.406,.855,17.7,8.2,2.1,1.2,19.0,.131,0.6,4.6,2020
50,50,ATL,Skylar Mays,LSU,4,105,1111,451,122,182,.445,.345,.859,10.6,4.3,1.2,1.7,2.1,.092,-0.7,0.4,2020
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,,2020
52,52,SAC,KJ Martin,,5,309,6674,2652,1247,371,.545,.329,.673,21.6,8.6,4.0,1.2,12.4,.089,-1.8,0.4,2020
53,53,OKC,Cassius Winston,Michigan State,2,29,137,55,10,19,.409,.435,.900,4.7,1.9,0.3,0.7,0.1,.051,-4.9,-0.1,2020
54,54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,.360,.233,.895,7.5,2.7,1.2,0.2,0.0,-.006,-7.9,-0.4,2020
55,55,BRK,Jay Scrubb,John A. Logan College,3,24,235,97,36,10,.416,.313,.765,9.8,4.0,1.5,0.4,-0.1,-.014,-6.6,-0.3,2020
56,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,.667,.500,,3.9,2.6,0.1,0.4,0.1,.177,5.1,0.0,2020
57,57,LAC,Reggie Perry,Mississippi State,2,36,398,170,120,26,.459,.189,.679,11.1,4.7,3.3,0.7,0.4,.048,-5.5,-0.3,2020
58,58,PHI,Paul Reed,DePaul,6,325,4163,1779,1320,288,.565,.310,.690,12.8,5.5,4.1,0.9,15.9,.184,1.7,3.9,2020
59,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,.500,.472,.778,13.2,7.4,1.4,1.3,0.3,.079,0.3,0.1,2020
60,60,NOP,Sam Merrill,Utah State University,6,225,4197,1796,456,371,.424,.397,.890,18.7,8.0,2.0,1.6,10.5,.120,0.1,2.3,2020
1,1,DET,Cade Cunningham,Oklahoma State,5,272,9186,6119,1476,2164,.449,.340,.840,33.8,22.5,5.4,8.0,14.9,.078,2.2,9.8,2021
2,2,HOU,Jalen Green,,5,339,10866,6741,1426,1121,.422,.339,.796,32.1,19.9,4.2,3.3,11.0,.049,-1.1,2.4,2021
3,3,CLE,Evan Mobley,USC,5,334,10819,5592,2994,1018,.547,.309,.674,32.4,16.7,9.0,3.0,34.8,.154,2.4,12.1,2021
4,4,TOR,Scottie Barnes,Florida State,5,356,12204,6204,2665,1842,.475,.301,.773,34.3,17.4,7.5,5.2,27.2,.107,2.3,13.1,2021
5,5,ORL,Jalen Suggs,Gonzaga,5,268,7154,3384,922,1010,.423,.331,.792,26.7,12.6,3.4,3.8,8.3,.055,-0.3,3.1,2021
6,6,OKC,Josh Giddey,,5,334,9926,4861,2548,2197,.461,.337,.764,29.7,14.6,7.6,6.6,17.2,.083,1.5,8.8,2021
7,7,GSW,Jonathan Kuminga,,5,294,6502,3663,1239,539,.502,.332,.699,22.1,12.5,4.2,1.8,13.0,.096,-1.1,1.5,2021
8,8,ORL,Franz Wagner,Michigan,5,325,10417,6251,1585,1180,.475,.324,.851,32.1,19.2,4.9,3.6,24.2,.112,0.9,7.7,2021
9,9,SAC,Davion Mitchell,Baylor,5,371,8651,2932,719,1448,.452,.355,.687,23.3,7.9,1.9,3.9,10.3,.057,-2.6,-1.3,2021
10,10,NOP,Ziaire Williams,Stanford,5,269,5767,2336,809,319,.422,.322,.824,21.4,8.7,3.0,1.2,6.2,.052,-3.0,-1.5,2021
