uniqueID,Year,"Player Name (Last Name, First Name)",Position,Height in Ft & In,Weight in lbs,Standing vertical Jump,Maximum Vertical Jump (with steps),three-quarter court sprint,lane agility drill,Bench Press test,Drafted?
1523,2002,"Sheinfeld, Israel",PF-C,"6'8""",239,,,,,8,No
1524,2002,"Shumpert, Preston",SF,"6'6""",197,28.5,29,3.24,11.03,9,No
1525,2002,"Slay, Tamar",SF,"6'7""",203,32.5,38,3.09,10.94,11,Yes
1526,2002,"Songaila, Darius",PF,"6'8""",240,24.5,29.5,3.52,11.69,8,Yes
1527,2002,"Stoudemire, Amar'e",PF,"6'8""",233,32,35.5,3.25,11.19,12,No
1528,2002,"Taylor, Marcus",PG,"6'1""",181,27.5,33.5,3.31,11.25,4,Yes
1529,2002,"Thomas, Jobey",SG,"6'3""",183,26,32,3.3,11.46,13,No
1530,2002,"Wagner, Dajuan",PG-SG,"6'1""",193,28,35,3.22,12.03,16,Yes
1531,2002,"Wilcox, Chris",PF-C,"6'8""",218,31,34.5,3.16,11.43,20,Yes
1532,2002,"Williams, Frank",PG,"6'2""",212,26,31,3.29,11.73,,Yes
1533,2002,"Williams, George",PF-SF,"6'6""",214,33.5,39,3.24,11.21,11,No
1534,2002,"Williams, Jay",PG,"6'0""",197,28.5,36,3.09,10.34,10,Yes
1535,2002,"Woods, Qyntel",SF-SG,"6'7""",213,33.5,34.5,3.23,11.94,2,Yes
1536,2002,"Yarbrough, Vincent",SF,"6'6""",202,30,34,3.32,11.7,10,Yes
1537,2001,"Allenspach, Adam",C,"6'12""",259,28.5,31,3.4,11.9,16,No
1538,2001,"Arenas, Gilbert",SG,"6'2""",199,31.5,36,3.25,,12,Yes
1539,2001,"Armstrong, Brandon",SG,"6'4""",188,30,37,3.2,10.91,6,Yes
1540,2001,"Battier, Shane",SF-PF,"6'8""",229,29.5,33,3.3,10.95,12,Yes
1541,2001,"Belcher, Cookie",SG-PG,"6'3""",206,35,41.5,2.91,11.26,7,No
1542,2001,"Bell, Charlie",PG,"6'2""",200,31.5,38,3.12,10.59,15,No
1543,2001,"Boumtje-Boumtje, Ruben",C,"6'12""",245,26.5,31,3.33,11.84,6,No
1544,2001,"Bowman, Calvin",PF,"6'9""",214,28.5,34.5,3.21,11.96,7,No
1545,2001,"Bradley, Michael",PF,"6'10""",227,27,30,3.35,11.11,13,Yes
1546,2001,"Brewer, Jamison",PG,"6'2""",178,26,32.5,3.15,9.65,12,Yes
1547,2001,"Brown, Damone",SF,"6'8""",202,32,37,3.27,11.81,6,Yes
